danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo,pais
0.575,The Weeknd,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,1,0.5,0.227,232857,-7.594,0.0707,67.033,AUS
0.712,Sam Smith,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),2,0.463,0.011,156943,-7.399,0.0797,131.199,AUS
0.436,Labrinth,6unndO70DvZfnXYcYQMyQJ,Never Felt So Alone,5,0.409,0.499,160166,-4.438,0.0533,98.357,AUS
0.69,J. Cole,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,10,0.521,0.324,292799,-8.492,0.339,100.028,AUS
0.516,Lizzy McAlpine,2L9N0zZnd37dwF0clgxMGI,ceilings,9,0.322,0.473,182888,-11.762,0.0292,148.005,AUS
0.788,Ed Sheeran,3xWGA8pa0IKFI7IMPri4P0,Shivers,2,0.859,0.281,207853,-2.724,0.0856,141.02,AUS
0.608,Luke Combs,48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,1,0.745,0.0226,224427,-4.13,0.0277,102.025,AUS
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008,AUS
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04,AUS
0.559,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,5,0.551,0.141,201800,-7.231,0.132,143.008,AUS
0.696,Tiësto,36gcliMRX1vCpgnrZE3dFZ,10:35,8,0.793,0.0683,172253,-5.733,0.097,120.003,AUS
0.684,Miguel,0JXXNGljqupsJaZsgSbMZV,Sure Thing,11,0.607,0.0267,195373,-8.127,0.1,81.001,AUS
0.501,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,1,0.405,0.751,182161,-5.679,0.0319,109.891,AUS
0.586,The Weeknd,2LBqCSwhJGcFQeTHMVGwy3,Die For You,1,0.525,0.111,260253,-7.163,0.0615,133.629,AUS
0.352,The Killers,003vvx7Niy0yvhvHt4a68B,Mr. Brightside,1,0.911,0.00121,222973,-5.23,0.0747,148.033,AUS
0.678,Lewis Capaldi,3W5KHP0Yr56ejVDns9vci3,Wish You The Best,3,0.48,0.588,210880,-3.607,0.0298,107.934,AUS
0.685,George Ezra,4N5s8lPTsjI9EGP7K4SXzB,Green Green Grass,8,0.738,0.0695,167614,-4.413,0.0595,112.972,AUS
0.515,JVKE,5odlY52u43F5BjByhxg7wg,golden hour,4,0.593,0.653,209260,-4.801,0.0322,94.467,AUS
0.552,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,9,0.702,0.117,178427,-5.707,0.157,169.994,AUS
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758,AUS
0.823,Kali,7sliFe6W30tPBPh6dvZsIH,Area Codes,1,0.388,0.0187,139326,-10.867,0.491,154.569,AUS
