source,target
Artigeardit,DENM
Gobs,DENM
Artigeardit,DENM
URO,DENM
Gobs,DENM
Harry Styles,DENM
Zara Larsson,DENM
Alessandra,DENM
Lamin,DENM
Blæst,DENM
Post Malone,DENM
David Guetta,DENM
Saiko,ESP
Lola Indigo,ESP
ROSALÍA,ESP
Marshmello,ESP
Jhayco,ESP
Feid,ESP
Chanel,ESP
KAROL G,ESP
Yandel,ESP
Vicco,ESP
Shakira,ESP
Yng Lvcas,ESP
Álvaro De Luna,ESP
Quevedo,ESP
Feid,ESP
Taiu,ESP
Eladio Carrion,ESP
TINI,ESP
Quevedo,ESP
Eladio Carrion,ESP
Aitana,ESP
Manuel Turizo,ESP
LiL CaKe,ESP
Eslabon Armado,ESP
Quevedo,ESP
Rvfv,ESP
Maikel Delacalle,ESP
Rvfv,ESP
Bizarrap,ESP
Ozuna,ESP
Grupo Frontera,ESP
Bizarrap,ESP
Loreen,ESP
Saiko,ESP
Feid,ESP
Pedro Capó,ESP
Becky G,ESP
Morad,ESP
Morad,ESP
Sebastian Yatra,ESP
Arcángel,ESP
Mora,ESP
Mora,ESP
Aya Nakamura,ESP
Myke Towers,ESP
Aissa,ESP
Miley Cyrus,ESP
Feid,ESP
YoSoyPlex,ESP
Käärijä,ESP
Käärijä,FIN
SHRTY,FIN
Loreen,FIN
Alessandra,FIN
Costi,FIN
Gettomasa,FIN
Korelon,FIN
Antti Tuisku,FIN
Cledos,FIN
Joker Out,FIN
Noa Kirel,FIN
Costi,FIN
KUUMAA,FIN
Fabe,FIN
ABREU,FIN
Isac Elliot,FIN
KUUMAA,FIN
william,FIN
TEYA,FIN
Joe L,FIN
Vesna,FIN
pehmoaino,FIN
BLANKA,FIN
La Zarra,FIN
vitunleija,FIN
Remo Forrer,FIN
Gettomasa,FIN
Turisti,FIN
TUULI,FIN
David Kushner,FIN
Gettomasa,FIN
KUUMAA,FIN
Nebi,FIN
Miley Cyrus,FIN
Jami Faltin,FIN
Käärijä,FIN
Bee,FIN
JVG,FIN
VJ,FIN
Andrew Lambrou,FIN
BESS,FIN
David Guetta,FIN
TVORCHI,FIN
Pasha Parfeni,FIN
Portion Boys,FIN
ibe,FIN
Voyager,FIN
Käärijä,FIN
ibe,FIN
David Guetta,FIN
No Limit,FRA
Naps,FRA
Ninho,FRA
SDM,FRA
Ninho,FRA
PLK,FRA
Tiakola,FRA
GAULOIS,FRA
Miley Cyrus,FRA
Djadja & Dinaz,FRA
SDM,FRA
Ayra Starr,FRA
Werenoi,FRA
Werenoi,FRA
Jul,FRA
Lomepal,FRA
Hamza,FRA
Werenoi,FRA
Zola,FRA
Vacra,FRA
Gazo,FRA
Louane,FRA
Metro Boomin,FRA
Nuit Incolore,FRA
PLK,FRA
Naps,FRA
David Kushner,FRA
Jul,FRA
Favé,FRA
Jok'air,FRA
Zola,FRA
Gazo,FRA
Zola,FRA
Tayc,FRA
Gazo,FRA
Calvin Harris,FRA
Ninho,FRA
Stefy De Cicco,FRA
David Guetta,FRA
DYSTINCT,FRA
Loreen,FRA
Black Eyed Peas,FRA
Werenoi,FRA
Harry Styles,FRA
Libianca,FRA
Djadja & Dinaz,FRA
Josman,FRA
Werenoi,FRA
Damso,FRA
Aden Foyer,FRA
David Kushner,GBR
Loreen,GBR
Calvin Harris,GBR
Käärijä,GBR
Miley Cyrus,GBR
PinkPantheress,GBR
Libianca,GBR
SZA,GBR
Lewis Capaldi,GBR
Ed Sheeran,GBR
Alessandra,GBR
Taylor Swift,GBR
FIFTY FIFTY,GBR
Harry Styles,GBR
Jazzy,GBR
Switch Disco,GBR
RAYE,GBR
Post Malone,GBR
"Tyler, The Creator",GBR
Rema,GBR
Lizzy McAlpine,GBR
Lil Mabu,GBR
Florence + The Machine,GBR
Lil Durk,GBR
Mae Muller,GBR
Metro Boomin,GBR
Bakar,GBR
Mae Stephens,GBR
OneRepublic,GBR
Miguel,GBR
The Killers,GBR
David Guetta,GBR
Lewis Capaldi,GBR
Tom Odell,GBR
Drake,GBR
Beyoncé,GBR
Taylor Swift,GBR
Coi Leray,GBR
David Guetta,GBR
Vance Joy,GBR
J. Cole,GBR
Coldplay,GBR
venbee,GBR
Lewis Capaldi,GBR
Morgan Wallen,GBR
LF SYSTEM,GBR
Nines,GBR
JVKE,GBR
The Neighbourhood,GBR
Tears For Fears,GBR
Loreen,HOL
Marco Schuitmaker,HOL
Kevin,HOL
David Kushner,HOL
Maan,HOL
Calvin Harris,HOL
Miley Cyrus,HOL
Bizzey,HOL
Metejoor,HOL
Turfy Gang,HOL
Käärijä,HOL
Libianca,HOL
DYSTINCT,HOL
Claude,HOL
Alessandra,HOL
Jonna Fraser,HOL
David Guetta,HOL
Claude,HOL
Suzan & Freek,HOL
Tiësto,HOL
Goldband,HOL
FLEMMING,HOL
Ayra Starr,HOL
Zoë Tauran,HOL
FLEMMING,HOL
Metro Boomin,HOL
Ed Sheeran,HOL
Frenna,HOL
Lost Frequencies,HOL
Trobi,HOL
Felix Jaehn,HOL
Acda en de Munnik,HOL
Post Malone,HOL
Zoë Tauran,HOL
Goldband,HOL
Victor Thompson,HOL
Lewis Capaldi,HOL
Moha K,HOL
SERA,HOL
Mia Nicolai,HOL
David Guetta,HOL
Cian Ducrot,HOL
Davina Michelle,HOL
Kris Kross Amsterdam,HOL
P!nk,HOL
Tom Odell,HOL
Libianca,HOL
Niall Horan,HOL
Purple Disco Machine,HOL
KM,HOL
Azahriah,HUN
Azahriah,HUN
Azahriah,HUN
Azahriah,HUN
Azahriah,HUN
David Kushner,HUN
Azahriah,HUN
Azahriah,HUN
Azahriah,HUN
Beton.Hofi,HUN
Azahriah,HUN
DESH,HUN
Pogány Induló,HUN
Dzsúdló,HUN
KKevin,HUN
Dzsúdló,HUN
T. Danny,HUN
Follow The Flow,HUN
Ekhoe,HUN
Azahriah,HUN
ByeAlex és a Slepp,HUN
Carson Coma,HUN
Kain,HUN
Dzsúdló,HUN
Azahriah,HUN
Miley Cyrus,HUN
Azahriah,HUN
Ekhoe,HUN
Azahriah,HUN
David Guetta,HUN
VALMAR,HUN
DESH,HUN
Bruno X Spacc,HUN
Azahriah,HUN
Beton.Hofi,HUN
Azahriah,HUN
Kolg8eight,HUN
Azahriah,HUN
BSW,HUN
Ekhoe,HUN
VZS,HUN
KKevin,HUN
Pogány Induló,HUN
Azahriah,HUN
Käärijä,HUN
Dzsúdló,HUN
Manuel,HUN
Loreen,HUN
Kiss Kevin,HUN
Tóth Andi,HUN
Jazzy,IRL
Calvin Harris,IRL
David Kushner,IRL
Loreen,IRL
Miley Cyrus,IRL
PinkPantheress,IRL
Lewis Capaldi,IRL
Käärijä,IRL
Taylor Swift,IRL
Ed Sheeran,IRL
Switch Disco,IRL
SZA,IRL
Morgan Wallen,IRL
Harry Styles,IRL
Libianca,IRL
Lizzy McAlpine,IRL
Rema,IRL
Post Malone,IRL
RAYE,IRL
Mae Stephens,IRL
Niall Horan,IRL
Florence + The Machine,IRL
OneRepublic,IRL
David Guetta,IRL
"Tyler, The Creator",IRL
David Guetta,IRL
Coldplay,IRL
Tom Odell,IRL
Coi Leray,IRL
FIFTY FIFTY,IRL
Lewis Capaldi,IRL
Bakar,IRL
Jax Jones,IRL
Vance Joy,IRL
Metro Boomin,IRL
The Killers,IRL
Taylor Swift,IRL
Alessandra,IRL
George Ezra,IRL
Lewis Capaldi,IRL
Macklemore,IRL
Meghan Trainor,IRL
Tiësto,IRL
Lil Durk,IRL
Declan McKenna,IRL
Lil Mabu,IRL
Zach Bryan,IRL
Kali,IRL
Sam Smith,IRL
Jonas Brothers,IRL
Finesse,ITA
Lazza,ITA
Geolier,ITA
Rhove,ITA
BLANCO,ITA
Geolier,ITA
Annalisa,ITA
AriBeatz,ITA
Tananai,ITA
Geolier,ITA
Marco Mengoni,ITA
Matteo Paolillo - Icaro,ITA
Bizarrap,ITA
Geolier,ITA
Shiva,ITA
Mr.Rain,ITA
thasup,ITA
Rocco Hunt,ITA
Bresh,ITA
Tony Effe,ITA
Guè,ITA
Shiva,ITA
Medy,ITA
Rose Villain,ITA
Shiva,ITA
Madame,ITA
VillaBanks,ITA
David Kushner,ITA
Miley Cyrus,ITA
Annalisa,ITA
Loreen,ITA
Diss Gacha,ITA
Lazza,ITA
Pinguini Tattici Nucleari,ITA
Bizarrap,ITA
Capo Plaza,ITA
ROSALÍA,ITA
Elodie,ITA
Bresh,ITA
Noizy,ITA
Lazza,ITA
Shablo,ITA
MamboLosco,ITA
Alessandra,ITA
BLANCO,ITA
Marracash,ITA
Shiva,ITA
Geolier,ITA
Angelina Mango,ITA
Mr.Rain,ITA
Kudos,NORW
Loreen,NORW
Käärijä,NORW
Brødrene Bausa,NORW
Alessandra,NORW
UNDERGRUNN,NORW
David Kushner,NORW
Morgan Sulele,NORW
Emma Steinbakken,NORW
Albin Lee Meldau,NORW
Roc Boyz,NORW
Miley Cyrus,NORW
UNDERGRUNN,NORW
Emma Steinbakken,NORW
Johanne Holmedahl,NORW
UNDERGRUNN,NORW
Hagle,NORW
UNDERGRUNN,NORW
Dagny,NORW
LongMen,NORW
RykkinnFella,NORW
Zara Larsson,NORW
Ballinciaga,NORW
Broiler,NORW
David Guetta,NORW
David Guetta,NORW
Jonas Benyoub,NORW
Post Malone,NORW
Alan Walker,NORW
Noa Kirel,NORW
Ringnes-Ronny,NORW
Ramón,NORW
Kamelen,NORW
vinni,NORW
Emma Steinbakken,NORW
Ballinciaga,NORW
FIFTY FIFTY,NORW
Chris Holsten,NORW
C.Gambino,NORW
Ringnes-Ronny,NORW
Blackie,NORW
Kris Winther,NORW
TIX,NORW
Lewis Capaldi,NORW
Rambow,NORW
Karpe,NORW
Rema,NORW
Vidar Villa,NORW
Jens Book-Jenssen,NORW
Roc Boyz,NORW
Käärijä,POL
Loreen,POL
BLANKA,POL
David Kushner,POL
sanah,POL
Kizo,POL
Alessandra,POL
Kizo,POL
Szpaku,POL
Dawid Podsiadło,POL
Przemek.pro,POL
Måneskin,POL
Miley Cyrus,POL
Oki,POL
Białas,POL
2115,POL
Przemek.pro,POL
Kuban,POL
Noa Kirel,POL
ReTo,POL
club2020,POL
Jann,POL
Cyrko,POL
White 2115,POL
Favst,POL
Kuban,POL
Smolasty,POL
sanah,POL
FAST BOY,POL
Gibbs,POL
ReTo,POL
Guzior,POL
White 2115,POL
Tiësto,POL
Daria Zawiałow,POL
Dawid Podsiadło,POL
Waima,POL
Joker Out,POL
Kizo,POL
Kubańczyk,POL
club2020,POL
Rema,POL
Popek,POL
Vito Bambino,POL
David Guetta,POL
Miszel,POL
Metro Boomin,POL
Matlane,POL
La Zarra,POL
Calvin Harris,POL
rares,RUM
Tzanca Uraganu,RUM
Iuly Neamtu,RUM
Jador,RUM
Ian,RUM
6ix9ine,RUM
Tzanca Uraganu,RUM
Tzanca Uraganu,RUM
Delia,RUM
Bogdan DLP,RUM
Costel Biju,RUM
AlbertNbn,RUM
Käärijä,RUM
RAVA,RUM
RAVA,RUM
4 226,RUM
Loreen,RUM
RAVA,RUM
Vescan,RUM
M.G.L.,RUM
RAVA,RUM
Stefan Costea,RUM
Alex Velea,RUM
Ian,RUM
M.G.L.,RUM
Ian,RUM
Petre Stefan,RUM
Ian,RUM
Aerozen,RUM
Stefan Costea,RUM
Tzanca Uraganu,RUM
Iuly Neamtu,RUM
Iuly Neamtu,RUM
Connect-R,RUM
David Kushner,RUM
YNY Sebi,RUM
Metro Boomin,RUM
NLE Choppa,RUM
Ian,RUM
IDK,RUM
Tzanca Uraganu,RUM
Bogdan DLP,RUM
Berechet,RUM
Metro Boomin,RUM
Ian,RUM
Tzanca Uraganu,RUM
Costel Biju,RUM
M.G.L.,RUM
Bogdan DLP,RUM
M.G.L.,RUM
Calin,SLO
Separ,SLO
David Kushner,SLO
Separ,SLO
STEIN27,SLO
Fobia Kid,SLO
Separ,SLO
Samey,SLO
Calin,SLO
Calin,SLO
Miley Cyrus,SLO
Separ,SLO
Separ,SLO
Pil C,SLO
Calin,SLO
David Guetta,SLO
Tiësto,SLO
Calin,SLO
Käärijä,SLO
Separ,SLO
Separ,SLO
Viktor Sheen,SLO
Separ,SLO
Separ,SLO
Tom Odell,SLO
SIMILIVINLIFE,SLO
Calin,SLO
Calin,SLO
Separ,SLO
Metro Boomin,SLO
Eminem,SLO
Separ,SLO
Separ,SLO
Loreen,SLO
OneRepublic,SLO
Viktor Sheen,SLO
Sofian Medjmedj,SLO
Hard Rico,SLO
Separ,SLO
Majk Spirit,SLO
Viktor Sheen,SLO
MEDUZA,SLO
Harry Styles,SLO
Separ,SLO
Sam Smith,SLO
Pil C,SLO
Separ,SLO
Separ,SLO
Imagine Dragons,SLO
Rema,SLO
Käärijä,SWE
Hov1,SWE
Loreen,SWE
ADAAM,SWE
Bolaget,SWE
Victor Leksell,SWE
Alessandra,SWE
Thomas Stenström,SWE
Naod,SWE
Eah Jé,SWE
Yasin,SWE
Hov1,SWE
Bolaget,SWE
Zara Larsson,SWE
Sarettii,SWE
Miley Cyrus,SWE
Albin Lee Meldau,SWE
Rasmus Gozzi,SWE
Ant Wan,SWE
C.Gambino,SWE
David Kushner,SWE
Darin,SWE
Hooja,SWE
Jireel,SWE
Hov1,SWE
Hooja,SWE
Babblarna,SWE
Noa Kirel,SWE
Veronica Maggio,SWE
Miss Li,SWE
Mares,SWE
Veronica Maggio,SWE
Miriam Bryant,SWE
Veronica Maggio,SWE
Humlan Djojj,SWE
Hov1,SWE
Smash Into Pieces,SWE
Theoz,SWE
Asme,SWE
Hooja,SWE
Miss Li,SWE
Victor Leksell,SWE
Tjuvjakt,SWE
Bianca Ingrosso,SWE
HAVAL,SWE
Lars Winnerbäck,SWE
Norlie & KKV,SWE
Dizzy,SWE
Sickan,SWE
Oskar Linnros,SWE
Loreen,SWI
David Kushner,SWI
Remo Forrer,SWI
Miley Cyrus,SWI
Udo Lindenberg,SWI
Eminem,SWI
RAF Camora,SWI
David Guetta,SWI
Käärijä,SWI
Alessandra,SWI
ROSALÍA,SWI
No Limit,SWI
Tom Odell,SWI
reezy,SWI
EAZ,SWI
Metro Boomin,SWI
Harry Styles,SWI
Marco Mengoni,SWI
HoodBlaq,SWI
OneRepublic,SWI
David Guetta,SWI
Ed Sheeran,SWI
Macklemore,SWI
Bizarrap,SWI
Butrint Imeri,SWI
Libianca,SWI
Rema,SWI
RAF Camora,SWI
Ayra Starr,SWI
Tiësto,SWI
Rosa Linn,SWI
Rema,SWI
Sam Smith,SWI
Samra,SWI
Nimo,SWI
FIFTY FIFTY,SWI
Lost Frequencies,SWI
Felix Jaehn,SWI
Ninho,SWI
Apache 207,SWI
Naps,SWI
KAROL G,SWI
Capital Bra,SWI
Heuss L'enfoiré,SWI
Eminem,SWI
Lewis Capaldi,SWI
SZA,SWI
Luciano,SWI
Ed Sheeran,SWI
Ninho,SWI
ALIZADE,TURK
Semicenk,TURK
Semicenk,TURK
Simge,TURK
Heijan,TURK
Semicenk,TURK
Sibel Can,TURK
Lvbel C5,TURK
BLOK3,TURK
BLOK3,TURK
BLOK3,TURK
Semicenk,TURK
Velet,TURK
Paptircem,TURK
İrem Derici,TURK
BLOK3,TURK
Mabel Matiz,TURK
Lvbel C5,TURK
cakal,TURK
Semicenk,TURK
Sibel Can,TURK
KÖFN,TURK
Mert Demir,TURK
UZI,TURK
Halodayı,TURK
cakal,TURK
Semicenk,TURK
Mabel Matiz,TURK
Hande Yener,TURK
Hadise,TURK
Heijan,TURK
B4TU INC.,TURK
Dedublüman,TURK
UZI,TURK
Mavi Gri,TURK
Mavi Gri,TURK
Burak Bulut,TURK
Mabel Matiz,TURK
Dedublüman,TURK
Ati242,TURK
Can7,TURK
DEHA INC.,TURK
KÖFN,TURK
Sefo,TURK
Motive,TURK
Dedublüman,TURK
ATE,TURK
Lil Zey,TURK
RECO,TURK
Mavi,TURK
kizaru,UKR
Käärijä,UKR
xxxmanera,UKR
YAKTAK,UKR
Jann,UKR
TVORCHI,UKR
INTERWORLD,UKR
SadSvit,UKR
Parfeniuk,UKR
YAKTAK,UKR
Pepel Nahudi,UKR
Wellboy,UKR
Kill Eva,UKR
SHUMEI,UKR
Skofka,UKR
Loreen,UKR
David Kushner,UKR
INTERWORLD,UKR
madk1d,UKR
xxxmanera,UKR
ThxSoMch,UKR
DOROFEEVA,UKR
glichery,UKR
Skofka,UKR
Artem Pivovarov,UKR
Joker Out,UKR
Alessandra,UKR
Kordhell,UKR
LOVV66,UKR
VovaZiLvova,UKR
YAKTAK,UKR
KOLA,UKR
Після Дощу,UKR
The Hardkiss,UKR
YAKTAK,UKR
Artem Pivovarov,UKR
ENLEO,UKR
KALUSH,UKR
KALUSH,UKR
SadSvit,UKR
Scally Milano,UKR
Nirvana,UKR
(G)I-DLE,UKR
SKYLERR,UKR
Imagine Dragons,UKR
alyona alyona,UKR
100лиця,UKR
g3ox_em,UKR
Mr.Kitty,UKR
ooes,UKR
