source,target
Feid,PER
Feid,PER
Taiu,PER
Manuel Turizo,PER
Feid,PER
Feid,PER
Jimin,PER
LiL CaKe,PER
Bizarrap,PER
TINI,PER
Arcángel,PER
ROSALÍA,PER
Bad Bunny,PER
Mora,PER
Eladio Carrion,PER
Shakira,PER
Cris Mj,PER
Bizarrap,PER
Yahritza Y Su Esencia,PER
Bad Bunny,PER
KAROL G,PER
KAROL G,PER
Bad Bunny,PER
Anuel AA,PER
J Balvin,PER
Rauw Alejandro,PER
Danny Ocean,PER
KAROL G,PER
Plan B,PER
Ñengo Flow,PER
Marshmello,PER
Quevedo,PER
KAROL G,PER
Rels B,PER
FIFTY FIFTY,PER
Jimin,PER
Morat,PER
Feid,PER
Big One,PER
Harry Styles,PER
Bad Bunny,PER
Rauw Alejandro,PER
Bad Bunny,PER
Dilaw,PHI
FIFTY FIFTY,PHI
Miley Cyrus,PHI
SunKissed Lola,PHI
Adie,PHI
SZA,PHI
SZA,PHI
The Weeknd,PHI
Calein,PHI
Jeff Grecia,PHI
Taylor Swift,PHI
d4vd,PHI
Taylor Swift,PHI
Sabrina Carpenter,PHI
BLACKPINK,PHI
NOBITA,PHI
Lola Amour,PHI
Taylor Swift,PHI
Taylor Swift,PHI
NewJeans,PHI
The Weeknd,PHI
Kenaniah,PHI
New West,PHI
JISOO,PHI
Kali Uchis,PHI
Taylor Swift,PHI
Arthur Nery,PHI
Dilaw,PHI
keshi,PHI
Adie,PHI
Taylor Swift,PHI
Dionela,PHI
iluna,PHI
The Weeknd,PHI
Stacey Ryan,PHI
Miley Cyrus,PHI
Adie,PHI
Taylor Swift,PHI
Because,PHI
Harry Styles,PHI
Zack Tabudlo,PHI
Daniel Caesar,PHI
Stephen Sanchez,PHI
Up Dharma Down,PHI
yuji,PHI
PinkPantheress,PHI
Rex Orange County,PHI
The Weeknd,PHI
dhruv,PHI
Flow G,PHI
Tyler ICU,SAF
Lil Durk,SAF
Various Artists,SAF
Inkabi Zezwe,SAF
2Point1,SAF
Uncle Waffles,SAF
Soa mattrix,SAF
Rema,SAF
Libianca,SAF
Shaunmusiq,SAF
Tyler ICU,SAF
Ayra Starr,SAF
Aymos,SAF
Sam Deep,SAF
Inkabi Zezwe,SAF
Loatinover Pounds,SAF
Mellow & Sleazy,SAF
Mas Musiq,SAF
Pcee,SAF
Kelvin Momo,SAF
Miguel,SAF
Murumba Pitch,SAF
Lwah Ndlunkulu,SAF
uLazi,SAF
Kali,SAF
SZA,SAF
AKA,SAF
David Kushner,SAF
Drake,SAF
Spirit Of Praise,SAF
DJ Maphorisa,SAF
Miley Cyrus,SAF
Myztro,SAF
Metro Boomin,SAF
Burna Boy,SAF
SZA,SAF
Inkabi Zezwe,SAF
Mas Musiq,SAF
Chris Brown,SAF
Future,SAF
Pcee,SAF
Lil Yachty,SAF
MÖRDA,SAF
PinkPantheress,SAF
Fantasia,SAF
AKA,SAF
J. Cole,SAF
Lwah Ndlunkulu,SAF
Murumba Pitch,SAF
K.O,SAF
FIFTY FIFTY,SAU
Adele,SAU
INTERWORLD,SAU
Jimin,SAU
SZA,SAU
PinkPantheress,SAU
Tom Odell,SAU
Mohammed Saeed,SAU
Arctic Monkeys,SAU
The Weeknd,SAU
sped up 8282,SAU
Lana Del Rey,SAU
JIN,SAU
Cigarettes After Sex,SAU
Metro Boomin,SAU
Maha Ftouni,SAU
Eminem,SAU
Øneheart,SAU
Harry Styles,SAU
JISOO,SAU
The Weeknd,SAU
Abdul Majeed Abdullah,SAU
Cigarettes After Sex,SAU
David Kushner,SAU
d4vd,SAU
RAYE,SAU
The Weeknd,SAU
Miley Cyrus,SAU
d4vd,SAU
Rema,SAU
Jimin,SAU
Metro Boomin,SAU
Samar Tarik,SAU
Kordhell,SAU
The Neighbourhood,SAU
Metro Boomin,SAU
Adele,SAU
Libianca,SAU
BTS,SAU
Lana Del Rey,SAU
Tory Lanez,SAU
Keane,SAU
Taylor Swift,SAU
Aiman Qusailah,SAU
LE SSERAFIM,SAU
FIFTY FIFTY,SAU
Stephen Sanchez,SAU
Jimin,SAU
Oumaima Taleb,SAU
Majid Almohandis,SAU
FIFTY FIFTY,SGP
JISOO,SGP
NewJeans,SGP
LE SSERAFIM,SGP
IVE,SGP
BLACKPINK,SGP
BLACKPINK,SGP
BLACKPINK,SGP
SEVENTEEN,SGP
SZA,SGP
FIFTY FIFTY,SGP
NewJeans,SGP
JVKE,SGP
The Weeknd,SGP
BLACKPINK,SGP
Miley Cyrus,SGP
d4vd,SGP
BLACKPINK,SGP
TAEYANG,SGP
Miley Cyrus,SGP
Ronghao Li,SGP
YOASOBI,SGP
Harry Styles,SGP
承桓,SGP
IVE,SGP
LISA,SGP
David Kushner,SGP
Sabrina Carpenter,SGP
NewJeans,SGP
Taylor Swift,SGP
Taylor Swift,SGP
BLACKPINK,SGP
BLACKPINK,SGP
Justin Bieber,SGP
Metro Boomin,SGP
BLACKPINK,SGP
aespa,SGP
Stephen Sanchez,SGP
Taylor Swift,SGP
Rema,SGP
张远,SGP
OneRepublic,SGP
sped up 8282,SGP
The Weeknd,SGP
BLACKPINK,SGP
"Tyler, The Creator",SGP
PinkPantheress,SGP
SZA,SGP
WeiBird,SGP
(G)I-DLE,SGP
BTS,THA
LISA,THA
TAEYANG,THA
Jimin,THA
Colde,THA
Cocktail,THA
Agust D,THA
JISOO,THA
Newery,THA
เรนิษรา,THA
FIFTY FIFTY,THA
aespa,THA
Pop Pongkool,THA
DIDIxDADA,THA
SHERRY,THA
YEW,THA
BLACKPINK,THA
THEMOONWILLALWAYSBEWITHME,THA
QLER,THA
CHRRISSA,THA
Musketeers,THA
YourMOOD,THA
Three Man Down,THA
NewJeans,THA
AYLA's,THA
Jeff Satur,THA
bamm,THA
Safeplanet,THA
Anatomy Rabbit,THA
VELIKA,THA
Three Man Down,THA
Fast & Furious: The Fast Saga,THA
Mirrr,THA
PROXIE,THA
LISA,THA
DJ Snake,THA
Jimin,THA
NewJeans,THA
Dept,THA
YOUNGOHM,THA
BLACKPINK,THA
4EVE,THA
SZA,THA
Billkin,THA
THE TOYS,THA
FREEHAND,THA
PURPEECH,THA
ENHYPEN,THA
NONT TANONT,THA
PROXIE,THA
承桓,TWN
JISOO,TWN
Ronghao Li,TWN
IVE,TWN
LE SSERAFIM,TWN
YOASOBI,TWN
陳華,TWN
NewJeans,TWN
WeiBird,TWN
(G)I-DLE,TWN
Shi Shi,TWN
Capper,TWN
小阿七,TWN
SEVENTEEN,TWN
IVE,TWN
NewJeans,TWN
Ren Ran,TWN
告五人,TWN
aespa,TWN
张远,TWN
No Party For Cao Dong,TWN
理想混蛋,TWN
EggPlantEgg,TWN
(G)I-DLE,TWN
NewJeans,TWN
BLACKPINK,TWN
space x,TWN
BLACKPINK,TWN
理想混蛋,TWN
詹雯婷,TWN
Eason Chan,TWN
Jay Chou,TWN
Tanya Chua,TWN
Eric Chou,TWN
高爾宣 OSN,TWN
EggPlantEgg,TWN
告五人,TWN
Various Artists,TWN
蕭秉治,TWN
Miley Cyrus,TWN
Jay Chou,TWN
Jolin Tsai,TWN
No Party For Cao Dong,TWN
LBI利比,TWN
颜人中,TWN
Gummy B,TWN
IVE,TWN
告五人,TWN
The Kid LAROI,TWN
FIFTY FIFTY,TWN
Eslabon Armado,USA
Morgan Wallen,USA
Lil Durk,USA
Grupo Frontera,USA
SZA,USA
"Tyler, The Creator",USA
FIFTY FIFTY,USA
Yng Lvcas,USA
PinkPantheress,USA
Drake,USA
Lil Mabu,USA
Peso Pluma,USA
Kali,USA
Luke Combs,USA
Miley Cyrus,USA
Morgan Wallen,USA
Taylor Swift,USA
Taylor Swift,USA
NLE Choppa,USA
Natanael Cano,USA
David Kushner,USA
Peso Pluma,USA
Morgan Wallen,USA
Morgan Wallen,USA
Junior H,USA
Metro Boomin,USA
J. Cole,USA
Metro Boomin,USA
Zach Bryan,USA
Kali Uchis,USA
JVKE,USA
Harry Styles,USA
Chino Pacas,USA
Lil Uzi Vert,USA
Taylor Swift,USA
Drake,USA
The Weeknd,USA
Miguel,USA
Rema,USA
Metro Boomin,USA
Steve Lacy,USA
Kendrick Lamar,USA
SZA,USA
Morgan Wallen,USA
Drake,USA
Post Malone,USA
d4vd,USA
Ice Spice,USA
Taylor Swift,USA
Lil Uzi Vert,USA
Feid,VEN
Yandel,VEN
Eslabon Armado,VEN
KAROL G,VEN
Yng Lvcas,VEN
Eladio Carrion,VEN
Grupo Frontera,VEN
Ozuna,VEN
Feid,VEN
Rawayana,VEN
Feid,VEN
Feid,VEN
Jimin,VEN
ROSALÍA,VEN
Mora,VEN
Shakira,VEN
Feid,VEN
Arcángel,VEN
Manuel Turizo,VEN
Mora,VEN
Anuel AA,VEN
KAROL G,VEN
Taiu,VEN
Mora,VEN
Jimin,VEN
KAROL G,VEN
Bizarrap,VEN
Jhayco,VEN
Quevedo,VEN
Bizarrap,VEN
Bad Bunny,VEN
Jimin,VEN
Marshmello,VEN
Anuel AA,VEN
Eladio Carrion,VEN
Feid,VEN
Feid,VEN
KAROL G,VEN
Young Miko,VEN
Ñengo Flow,VEN
TINI,VEN
Bad Bunny,VEN
Rauw Alejandro,VEN
Bad Bunny,VEN
Quevedo,VEN
KAROL G,VEN
Mora,VEN
Mora,VEN
Quevedo,VEN
Chencho Corleone,VEN
Jimin,VNM
BTS,VNM
Charlie Puth,VNM
Sơn Tùng M-TP,VNM
Agust D,VNM
GREY D,VNM
tlinh,VNM
Jung Kook,VNM
Madihu,VNM
Thắng,VNM
RPT MCK,VNM
Emcee L (Da LAB),VNM
GREY D,VNM
RPT MCK,VNM
RPT Orijinn,VNM
Coldplay,VNM
FIFTY FIFTY,VNM
Colde,VNM
JISOO,VNM
RPT MCK,VNM
Jimin,VNM
T.R.I,VNM
HIEUTHUHAI,VNM
RPT MCK,VNM
Agust D,VNM
14 Casper,VNM
Sơn Tùng M-TP,VNM
Sơn Tùng M-TP,VNM
MONSTAR,VNM
GREY D,VNM
Fast & Furious: The Fast Saga,VNM
Đen,VNM
Emcee L (Da LAB),VNM
HIEUTHUHAI,VNM
The Masked Singer,VNM
O.lew,VNM
Various Artists,VNM
Madihu,VNM
Jimin,VNM
Tăng Duy Tân,VNM
RPT MCK,VNM
Da LAB,VNM
Tóc Tiên,VNM
Sơn Tùng M-TP,VNM
JSOL,VNM
The Weeknd,VNM
AMEE,VNM
Ronboogz,VNM
Kai Đinh,VNM
Thịnh Suy,VNM
